Temp,DO,pH,BOD,NITRATE_N_NITRITE_N,WQI
29.2,6.4,8.1,3.4,2,9.255
24.5,6,8,3.1,2,8.272
25.8,5.5,7.8,4.2,9,9.701
24.8,5.5,7.8,5.6,3.55,8.869
25.7,5.7,7.9,3.2,2.69,8.505
25,4.5,7.5,12.6,2.3,9.649
24.8,5.2,7.7,10.3,1.9,9.358
26.3,5.6,7.7,3.8,1,8.3655
26.5,5.2,7.8,5.2,1.5,8.648
26,6.5,7.8,2.5,1.99,8.519
29.2,6.2,7.9,3.5,1.75,9.137
29.5,6.4,8,4.7,1.8,9.495
30.2,6.2,8,4.2,6.9,10.328
26.7,6.5,8,4,2.9,9.107
27.2,7,7.9,4.7,6.5,10.058
29.7,6.4,8,3.6,1.8,9.325
26,6.6,8.1,3.2,6.75,9.54
28,5.5,8.1,1.7,1,8.308
31,6.9,9,12,0,11.132
30,5.7,8.5,13,0,10.71
30.5,3.2,8.8,15,0,10.502
30.5,6.7,9,12.5,0,11.083
29,4.4,8.5,13,0,10.167
30,6.1,8.4,6.5,0,9.598
29.5,6.6,8.2,4,0,9.155
29.5,4.1,9.1,16.5,0,10.927
20,6,8.1,0.3,1,6.839
20.2,5.6,8,0.8,1,6.832
19.8,6.1,7.9,1.8,0.84,7.049
26.6,5.8,6.9,1.2,2.4,8.079
27,6.2,7.7,1.2,1.56,8.268
26.6,6.1,7.4,1.3,1.98,8.205
26.8,5.9,7,1.2,1.29,7.972
17.5,8.5,8.1,0.7,0,7.042
16.3,8.8,8.1,0.7,0,6.925
16.7,8.1,8,1,0,6.829
17.3,8.4,8.1,1,0,7.035
17,8.7,8.1,0.9,0,7.052
17,8.2,8,1.1,0,6.927
17.2,8.7,7.7,1.1,0,7.049
21,6.9,7.8,5.2,0,7.954
24.4,5.4,7.5,5.3,0,8.059
18.7,7.7,7.7,2.1,0,7.2
23,9,7.4,2.5,0.4,8.388
23,8,7.4,2.7,0.1,8.086
22,8.2,7.5,2.6,0.1,7.975
